MANDT;BUKRS;WERKS;Plant_Name;MATNR;MAKTX;BWART;BLDAT;BUDAT;MENGE;MEINS;ERFMG;ERFME;KOSTL;AUFNR;LIFNR;Vendor_Name
100;GB01;UK01;Birmingham Plant;000000000010000042;Diesel EN590;201;20240103;20240104;4500.000;L;4500.000;L;COST_UK_OPS;ORD-2024-0041;VEND-0091;Shell UK Ltd
100;GB01;UK01;Birmingham Plant;000000000010000042;Diesel EN590;201;20240110;20240111;3800.500;L;3800.500;L;COST_UK_OPS;ORD-2024-0044;VEND-0091;Shell UK Ltd
100;GB01;UK02;Manchester Depot;000000000010000043;Petrol Unleaded 95;201;20240108;20240109;1200.000;Liter;1200.000;Liter;COST_UK_DIST;ORD-2024-0047;VEND-0102;BP plc
100;GB01;UK02;Manchester Depot;000000000010000099;Natural Gas (mains);201;20240115;20240116;8200.000;M3;8200.000;M3;COST_UK_DIST;;VEND-0115;Centrica Business
100;DE01;DE01;Werk Dusseldorf;000000000010000044;Dieselkraftstoff B7;201;03.01.2024;04.01.2024;6100,000;l;6100,000;l;KOST_DE_PROD;AUFTR-2024-112;LIEF-0044;Deutsche BP AG
100;DE01;DE01;Werk Dusseldorf;000000000010000044;Dieselkraftstoff B7;201;03.01.2024;04.01.2024;6100,000;l;6100,000;l;KOST_DE_PROD;AUFTR-2024-112;LIEF-0044;Deutsche BP AG
100;DE01;DE02;Werk Hamburg;000000000010000045;Heizöl EL;201;20240120;20240121;12500.000;KG;12500.000;KG;KOST_DE_HEAT;;LIEF-0059;Mabanaft GmbH
100;DE01;DE02;Werk Hamburg;000000000010000046;LPG Flüssiggas;201;20240122;20240123;3200.000;KG;3200.000;KG;KOST_DE_PROD;AUFTR-2024-119;LIEF-0061;Primagas GmbH
100;IN01;IN01;Mumbai Facility;000000000010000047;HSD Diesel (BS-VI);201;2024-01-05;2024-01-06;9800.000;L;9800.000;L;COST_IN_FAC;ORD-2024-MUM-01;VEND-IN-0033;Indian Oil Corp
100;IN01;IN01;Mumbai Facility;000000000010000047;HSD Diesel (BS-VI);201;2024-01-05;2024-01-06;9800.000;L;9800.000;L;COST_IN_FAC;ORD-2024-MUM-01;VEND-IN-0033;Indian Oil Corp
100;IN01;IN02;Delhi Warehouse;000000000010000048;Petrol MS (BS-VI);201;20240112;20240113;2200.000;litre;2200.000;litre;COST_IN_DEL;;;
100;GB01;UK03;London HQ;000000000010000049;Diesel EN590 (HVO blend);201;20240118;20240119;850.000;L;850.000;L;COST_UK_HQ;ORD-2024-0055;VEND-0091;Shell UK Ltd
100;GB01;UK01;Birmingham Plant;000000000010000099;Natural Gas (mains);201;20240201;20240202;7600.000;M3;7600.000;M3;COST_UK_OPS;;VEND-0115;Centrica Business
100;DE01;DE01;Werk Dusseldorf;000000000010000050;Erdgas H-Gas;201;20240201;20240202;45000.000;M3;45000.000;M3;KOST_DE_PROD;;LIEF-0071;E.ON Energie
100;DE01;DE01;Werk Dusseldorf;000000000010000044;Dieselkraftstoff B7;201;20240205;20240206;5900,000;l;5900,000;l;KOST_DE_PROD;AUFTR-2024-138;LIEF-0044;Deutsche BP AG
100;GB01;UK02;Manchester Depot;000000000010000043;Petrol Unleaded 95;201;20240214;20240215;99999.000;Liter;99999.000;Liter;COST_UK_DIST;ORD-2024-0071;VEND-0102;BP plc
100;GB01;UK01;Birmingham Plant;000000000010000042;Diesel EN590;201;20240220;20240221;4100.000;L;4100.000;L;COST_UK_OPS;ORD-2024-0079;VEND-0091;Shell UK Ltd
100;IN01;IN01;Mumbai Facility;000000000010000051;Furnace Oil;201;20240215;20240216;18500.000;KG;18500.000;KG;COST_IN_FAC;ORD-2024-MUM-07;VEND-IN-0044;Hindustan Petroleum
100;DE01;DE02;Werk Hamburg;000000000010000045;Heizöl EL;201;20240218;20240219;11800.000;KG;11800.000;KG;KOST_DE_HEAT;;LIEF-0059;Mabanaft GmbH
100;GB01;UK03;London HQ;000000000010000042;Diesel EN590;201;;20240225;320.000;L;320.000;L;COST_UK_HQ;ORD-2024-0088;VEND-0091;Shell UK Ltd
100;DE01;DE01;Werk Dusseldorf;000000000010000044;Dieselkraftstoff B7;201;20240301;20240302;-150,000;l;-150,000;l;KOST_DE_PROD;AUFTR-2024-155;LIEF-0044;Deutsche BP AG
100;GB01;UK01;Birmingham Plant;000000000010000052;Biodiesel FAME B20;201;20240305;20240306;2800.000;L;2800.000;L;COST_UK_OPS;ORD-2024-0091;VEND-0099;Greenergy Ltd
