Account_Number,Site_Name,Site_Reference,Meter_MPAN,Meter_Serial,Tariff_Code,Supplier,Invoice_Number,Invoice_Date,Billing_Period_Start,Billing_Period_End,Meter_Reading_Open,Meter_Reading_Close,Reading_Type,Consumption_kWh,Unit,Day_Rate_kWh,Night_Rate_kWh,Standing_Charge_GBP,Unit_Cost_pPerKwh,Total_Cost_GBP,CCL_Liable,Notes
GB-00441,Birmingham Plant - Main,SITE-UK01,1012345678901,MTR-00441-A,HH-FLEX-2024,British Gas Business,BGS-INV-2024-0041,15/01/2024,01/01/2024,31/01/2024,847200,854890,Actual,7690,kWh,5460,2230,28.50,22.4,1751.06,Y,Half-hourly meter
GB-00441,Birmingham Plant - Main,SITE-UK01,1012345678901,MTR-00441-A,HH-FLEX-2024,British Gas Business,BGS-INV-2024-0089,14/02/2024,01/02/2024,29/02/2024,854890,862105,Actual,7215,kWh,5180,2035,28.50,22.4,1645.86,Y,Half-hourly meter
GB-00441,Birmingham Plant - Lighting,SITE-UK01,1012345678902,MTR-00441-B,SME-FIXED-2024,British Gas Business,BGS-INV-2024-0042,15/01/2024,01/01/2024,31/01/2024,33400,34180,Actual,780,kWh,780,,14.20,23.1,194.48,Y,
GB-00441,Birmingham Plant - Lighting,SITE-UK01,1012345678902,MTR-00441-B,SME-FIXED-2024,British Gas Business,BGS-INV-2024-0090,14/02/2024,01/02/2024,29/02/2024,34180,34890,Estimated,710,kWh,710,,14.20,23.1,178.71,Y,Reading estimated - meter access issue
GB-00552,Manchester Depot,SITE-UK02,1023456789012,MTR-00552-A,SME-FIXED-2024,EDF Energy,EDF-2024-MAN-0031,18/01/2024,04/01/2024,03/02/2024,91200,93650,Actual,2450,kWh,2450,,18.75,24.8,625.00,Y,Billing period spans Jan-Feb
GB-00552,Manchester Depot,SITE-UK02,1023456789012,MTR-00552-A,SME-FIXED-2024,EDF Energy,EDF-2024-MAN-0031,18/01/2024,04/01/2024,03/02/2024,91200,93650,Actual,2450,kWh,2450,,18.75,24.8,625.00,Y,Billing period spans Jan-Feb
GB-00552,Manchester Depot,SITE-UK02,1023456789012,MTR-00552-A,SME-FIXED-2024,EDF Energy,EDF-2024-MAN-0078,17/02/2024,04/02/2024,03/03/2024,93650,96040,Actual,2390,kWh,2390,,18.75,24.8,609.12,Y,
GB-00663,London HQ,SITE-UK03,1034567890123,MTR-00663-A,I&C-GREEN-2024,Octopus Energy Business,OCT-2024-LDN-0055,22/01/2024,01/01/2024,31/01/2024,210400,215820,Actual,5420,kWh,5420,,32.00,19.8,1107.96,Y,Green tariff - REGOs attached
GB-00663,London HQ,SITE-UK03,1034567890123,MTR-00663-A,I&C-GREEN-2024,Octopus Energy Business,OCT-2024-LDN-0110,21/02/2024,01/02/2024,29/02/2024,215820,220890,Actual,5070,kWh,5070,,32.00,19.8,1035.86,N,Green tariff - Scope 2 market-based = 0
GB-00663,London HQ - Solar FIT,SITE-UK03,1034567890124,MTR-00663-B,FIT-EXPORT,Octopus Energy Business,OCT-FIT-2024-0012,22/01/2024,01/01/2024,31/01/2024,,,Actual,-340,kWh,-340,,,4.1,-13.94,N,Solar export feed-in tariff - negative consumption
GB-00441,Birmingham Plant - Main,SITE-UK01,1012345678901,MTR-00441-A,HH-FLEX-2024,British Gas Business,BGS-INV-2024-0041,,01/01/2024,31/01/2024,847200,854890,Actual,7690,kWh,5460,2230,28.50,22.4,1751.06,Y,Duplicate of first row with missing invoice date
GB-00774,Birmingham Plant - Main,SITE-UK01,1012345678901,MTR-00441-A,HH-FLEX-2024,British Gas Business,BGS-CCL-2024-0041,15/01/2024,01/01/2024,31/01/2024,,,,,kWh,,,28.50,,42.56,Y,CCL charge only - no consumption data
GB-00885,Hamburg Werk,SITE-DE02,DE49112233445,MTR-DE02-A,GEWERBE-2024,E.ON Energie Deutschland,EON-2024-HH-0019,20/01/2024,01.01.2024,31.01.2024,445100,449820,Ablesewert,4720,kWh,4720,,24.80,28.6,1377.92,Y,German date format
GB-00885,Hamburg Werk,SITE-DE02,DE49112233445,MTR-DE02-A,GEWERBE-2024,E.ON Energie Deutschland,EON-2024-HH-0062,19/02/2024,01.02.2024,29.02.2024,449820,454310,Ablesewert,4490,kWh,4490,,24.80,28.6,1310.14,Y,
GB-00996,Mumbai Facility,SITE-IN01,MH-MSEDCL-0044123,MTR-IN01-A,HT-INDUSTRY,MSEDCL,MSED-INV-JAN2024-0441,25/01/2024,01/01/2024,31/01/2024,,,Actual,48500,kWh,48500,,0,6.85,3322.25,N,No meter readings - consumption billed directly
GB-00996,Mumbai Facility,SITE-IN01,MH-MSEDCL-0044123,MTR-IN01-A,HT-INDUSTRY,MSEDCL,MSED-INV-FEB2024-0441,24/02/2024,01/02/2024,29/02/2024,,,Actual,51200,MWh,51200,,0,6.85,,N,UNIT ERROR - MWh entered instead of kWh; 51200 MWh is implausible
GB-01107,Delhi Warehouse,SITE-IN02,DL-BSES-0099871,MTR-IN02-A,LT-COMMERCIAL,BSES Rajdhani,BSES-JAN24-0099,28/01/2024,01/01/2024,31/01/2024,18200,20650,Actual,2450,kWh,2450,,0,7.20,176.40,N,
GB-01107,Delhi Warehouse,SITE-IN02,DL-BSES-0099871,MTR-IN02-A,LT-COMMERCIAL,BSES Rajdhani,BSES-FEB24-0099,27/02/2024,01/02/2024,29/02/2024,20650,23280,Actual,2630,kWh,2630,,0,7.20,189.36,N,
GB-00441,Birmingham Plant - Main,SITE-UK01,1012345678901,MTR-00441-A,HH-FLEX-2024,British Gas Business,BGS-INV-2024-0133,15/03/2024,01/03/2024,31/03/2024,862105,889640,Actual,27535,kWh,19800,7735,28.50,22.4,6194.34,Y,Outlier - includes extra shift production run
GB-00552,Manchester Depot,SITE-UK02,,MTR-00552-B,SME-FIXED-2024,EDF Energy,EDF-2024-MAN-0120,17/03/2024,04/03/2024,03/04/2024,96040,97990,Actual,1950,kWh,1950,,18.75,24.8,502.50,Y,MPAN missing - new sub-meter not yet registered
